lon,lat,sess
-86.5264,39.1653,231
-86.1581,39.7684,175
-76.9378,38.9897,111
-83.1446,42.4895,48
-87.6298,41.8781,35
-85.1394,41.0793,22
-86.2520,41.6764,17
-86.1336,40.4864,12
-87.3464,41.5934,12
-85.7585,38.2527,11
-85.8241,38.2856,11
-87.8539,41.6303,9
-77.0369,38.9072,8
-85.9214,39.2014,8
-86.1180,39.9784,8
-86.1067,39.6137,7
-86.5861,34.7304,7
23.7294,37.9839,7
-86.0134,39.9568,6
0.0000,0.0000,6
-77.0261,38.9907,5
-85.9767,41.6820,5
4.0861,43.5607,5
-77.1528,39.0840,4
-77.7200,39.6418,4
-83.8088,39.9242,4
-86.1108,41.7534,4
-86.1275,40.0428,4
-86.3994,39.7042,4
-117.1611,32.7157,3
-74.0059,40.7128,3
-77.1068,38.8800,3
-86.1586,41.6620,3
-86.2158,41.0648,3
-86.8950,41.7075,3
72.8777,19.0760,3
80.2252,13.0597,3
-0.1278,51.5074,2
-118.2437,34.0522,2
-76.8483,39.0993,2
-76.8705,39.1390,2
-76.8802,38.9657,2
-76.8983,38.7651,2
-76.9455,38.9559,2
-77.0730,39.0796,2
-84.8500,39.0909,2
-84.8902,39.8289,2
-85.6236,39.0062,2
-85.8344,41.5823,2
-85.8531,41.2381,2
-86.0689,40.7537,2
-86.2379,41.7002,2
-86.9081,40.4259,2
-87.5000,41.5834,2
-88.1656,41.7481,2
-88.2434,40.1164,2
-90.0715,29.9511,2
-90.4226,38.6609,2
-95.2353,38.9717,2
-95.3694,29.7602,2
-96.8004,32.7801,2
-98.4936,29.4241,2
0.1218,52.2053,2
110.3705,-7.7971,2
114.1588,22.2800,2
121.6235,13.9414,2
153.0235,-27.4710,2
20.4667,44.8167,2
4.3082,50.8366,2
-0.5881,44.8026,1
-1.1581,52.9548,1
-102.3676,31.8457,1
-104.9847,39.7376,1
-117.3703,34.1064,1
-117.8653,34.1361,1
-117.9187,33.6411,1
-120.7985,38.7296,1
-121.4944,38.5816,1
-121.8447,36.6111,1
-122.0326,47.5301,1
-122.0839,37.3861,1
-122.1817,37.4530,1
-122.2711,37.5585,1
-122.2727,37.8716,1
-122.3321,47.6062,1
-122.4077,37.6547,1
-122.4194,37.7749,1
-122.4702,37.6879,1
-17.3660,14.7645,1
-3.5986,37.1773,1
-3.6969,42.3440,1
-46.6333,-23.5505,1
-66.8037,10.4696,1
-71.0598,42.3584,1
-71.9059,41.3359,1
-72.5748,42.2592,1
-72.7228,41.6973,1
-74.0324,40.7440,1
-74.1868,41.3307,1
-74.4311,40.6809,1
-75.1557,38.3954,1
-75.3705,40.6259,1
-75.9180,42.0987,1
-76.4367,38.3536,1
-76.6527,39.2051,1
-76.7497,38.8159,1
-76.8610,39.2037,1
-76.8755,39.0046,1
-76.9075,39.0348,1
-76.9960,39.1093,1
-77.0469,38.8048,1
-77.0947,38.9847,1
-77.1773,38.9339,1
-77.2014,39.1434,1
-77.2036,39.1727,1
-77.2716,39.1732,1
-77.3239,39.4086,1
-77.4874,39.0438,1
-77.5797,43.2134,1
-77.6931,43.2098,1
-80.2214,40.5170,1
-80.2442,36.0999,1
-80.5204,43.4643,1
-80.7609,41.0251,1
-82.4857,40.3934,1
-82.9988,39.9612,1
-83.2910,42.6389,1
-84.1688,39.6895,1
-84.2866,39.6428,1
-84.3880,33.7490,1
-84.4494,33.6534,1
-84.5120,39.1031,1
-84.6266,38.9990,1
-85.1411,39.6412,1
-85.2236,38.2120,1
-85.2650,41.4414,1
-85.3864,40.1934,1
-85.6803,40.1053,1
-85.7372,38.2776,1
-85.7600,38.2967,1
-85.8553,42.5292,1
-85.9198,39.8943,1
-86.0014,41.4428,1
-86.0086,40.0456,1
-86.0253,39.8387,1
-86.0411,40.2823,1
-86.1481,41.4464,1
-86.2508,39.7927,1
-86.2542,41.8298,1
-86.2619,39.9509,1
-86.3567,40.7545,1
-86.3903,35.8456,1
-86.3997,39.7628,1
-86.4283,39.4278,1
-86.4597,32.4640,1
-86.4872,38.8612,1
-86.5079,39.0711,1
-86.5264,39.7606,1
-86.6250,39.2339,1
